N,Title,Author,Composer,Tune
1,All People That on Earth Do Dwell,"Kethe, William",Genevan Psalter,Old Hundredth
2,O Worship the King,"Grant, Robert","Haydn, Johan Michael",Lyons
3,Give to Our God Immortal Praise,"Watts, Isaac","Harrison, Ralph",Warrington
4,"All Praise to God, Who Reigns Above","Schutz, Johann J.",Gasangbuch,Mit Freuden Zart
5,"God, My King, Thy Might Confessing","Mant, Richard",Psalmodia Sacra,Stuttgart
6,"O Come, My Soul, Bless Thou the Lord",The Psalter,"Walch, James",Tidings
7,From All That Dwell below the Skies,"Watts, Isaac","Halton, John",Duke Street
8,"Mighty God, While Angels Bless You","Robinson, Robert","Lowe, Albert",Alleluia (Lowe)
9,All You That Fear Jehovah’s Name,The Psalter,"Venua, Frederick M.A.",Park Street
10,Hallelujah! Hallelujah!,The Psalter,"Lowe, Albert",Alleluia (Lowe)
11,Now Blessed Be the Lord Our God,Scottish Psalter,Spiritual,McKee
12,"Exalt the Lord, His Praise Proclaim",The Psalter,"Haydn, Franz Joseph",Creation
13,"O Come, Let Us Sing to the Lord",Scottish Psalter,Edinburgh Psalter,Caithness
14,New Songs of Celebration Render,"Routley, Erick",Genevan Psalter,Rendez A Dieu
15,Stand Up and Bless the Lord,"Montgomery, James","Lockhart, Charles",Carlisle
16,"Come, Let Us Sing unto the Lord",ARP Psalter,"Hatton, John",Duke Street
17,Praise the Lord: Ye Heavens Adore Him,"Osler, Edward","Wilcox, John H.",Faben
18,You Holy Angels Bright,"Baxter, Richard","Darwall, John",Darwall
19,"Thee We Adore, Eternal Lord!",Moravian Collection,"Venua, Frederick M.A.",Park Street
20,Let All the World in Every Corner Sing,"Herbert, George","McCutchan, Robert G.",All The World
21,Sing Praise to the Lord!,"Baker, Henry W.","Parry, C. Hubert H.",Laudate Dominum
22,O That I Had a Thousand Voices,"Mentzer, Johann","Konig, Johann B.",O Dass Ich Tausend
23,"God of Gods, We Sound His Praises","Dudley-Smith, Timothy","Strover, Christian",God of Gods
24,"Vast the Immensity, Mirror of Majesty","Clowney, Edmund P.","Baughen, Michael",Majestas
25,O Light That Knew No Dawn,Gregory of Nazianzus,"Jackson, Robert",Waverton
26,"Tell Out, My Soul, the Greatness of the Lord","Dudley-Smith, Timothy","Greatorex, Walter",Woodlands
27,"Great God, How Infinite Art Thou!","Watts, Isaac","Tye, Christopher",Windsor
28,"O God, the Rock of Ages","Bickersteth, Edward H.",The Sacred Harp,Wedlock
29,The Lord Has Heard and Answered Prayer,The Psalter,"Hurford, Peter",The Holy Son
30,"Our God, Our Help in Ages Past","Watts, Isaac","Croft, William",St. Anne
31,"Have You Not Known, Have You Not Heard","Watts, Isaac","Mason, Lowell",Hermon
